"Year","Month","Deposit","Savings","Lending","Overdraft"
"2025","May","8.7","3.31","15.44","13.73"
"2025","April","8.87","3.66","15.65","14.083"
"2025","March","9.33","3.09","15.77","14.33"
"2025","February","9.76","4.02","16.41","15.1"
"2025","January","10.05","4.08","16.64","15.38"
"2024","April","10.77","4.14","16.45","16.37"
"2024","March","10.52","3.9","16.28","15.97"
"2024","February","10.32","3.33","15.88","15.55"
"2024","January","10.18","3.69","15.2","15.11"
"2024","August","11.14","4.62","16.84","16.39"
"2024","May","11.13","4.45","16.6","16.52"
"2024","June","11.48","5.11","16.85","16.78"
"2024","July","11.28","4.56","16.84","16.43"
"2024","September","11.24","3.57","16.91","16.83"
"2024","October","11.01","4.48","17.15","16.6"
"2024","November","10.41","3.54","17.22","16.53"
"2024","December","10.45","4.25","16.89","15.75"
"2023","June","7.8","3.92","13.31","12.83"
"2023","April","7.69","3.59","13.1","12.71"
"2023","March","7.6","3.55","13.09","12.69"
"2023","February","7.54","3.58","13.06","12.62"
"2023","January","7.47","3.6","12.77","12.34"
"2023","July","8.1","3.97","13.5","12.84"
"2023","August","8.39","4.05","13.83","13.24"
"2023","May","7.7","3.55","13.21","12.64"
"2023","December","10.1","4.24","14.63","14.65"
"2023","November","9.48","4.01","14.43","14.29"
"2023","December","10.1","4.24","14.63","14.65"
"2023","November","9.48","4.01","14.43","14.29"
"2023","October","9.11","3.98","14.16","14.09"
"2022","January","6.53","2.55","12.12","11.57"
"2022","February","6.61","2.56","12.17","11.63"
"2022","March","6.5","2.48","12.15","11.5"
"2022","April","6.58","2.56","12.2","11.69"
"2022","May","6.59","2.52","12.22","11.76"
"2022","June","6.62","2.5","12.27","11.86"
"2022","July","6.74","2.94","12.35","12.02"
"2022","August","6.93","3.47","12.43","12.1"
"2022","September","6.82","3.44","12.41","11.99"
"2022","October","7.01","3.46","12.39","11.96"
"2022","November","7.11","3.5","12.64","12.16"
"2022","December","7.17","3.56","12.67","12.22"
"2021","May","6.3","2.55","12.06","11.57"
"2021","April","6.3","2.66","12.08","11.66"
"2021","March","6.46","3.48","12.05","11.61"
"2021","February","6.47","3.37","12.02","11.52"
