"Date","Month","Day","Report Download"
"11/07/2025","July","11","Daily KES"
"10/07/2025","July","10","Daily KES"
"09/07/2025","July","09","Daily KES"
"08/07/2025","July","08","Daily KES"
"07/07/2025","July","07","Daily KES"
"04/07/2025","July","04","Daily KES"
"03/07/2025","July","03","Daily KES"
"02/07/2025","July","02","Daily KES"
"01/07/2025","July","01","Daily KES"
"30/06/2025","June","30","Daily KES"
"27/06/2025","June","27","Daily KES"
"26/06/2025","June","26","Daily KES"
"25/06/2025","June","25","Daily KES"
"24/06/2025","June","24","Daily KES"
"23/06/2025","June","23","Daily KES"
"20/06/2025","June","20","Daily KES"
"19/06/2025","June","19","Daily KES"
"18/06/2025","June","18","Daily KES"
"17/06/2025","June","17","Daily KES"
"16/06/2025","June","16","Daily KES"
"13/06/2025","June","13","Daily KES"
"12/06/2025","June","12","Daily KES"
"11/06/2025","June","11","Daily KES"
"10/06/2025","June","10","Daily KES"
"09/06/2025","June","09","Daily KES"
"05/06/2025","June","05","Daily KES"
"04/06/2025","June","04","Daily KES"
"03/06/2025","June","03","Daily KES"
"30/05/2025","May","30","Daily KES"
"29/05/2025","May","29","Daily KES"
"28/05/2025","May","28","Daily KES"
"27/05/2025","May","27","Daily KES"
"26/05/2025","May","26","Daily KES"
"23/05/2025","May","23","Daily KES"
"22/05/2025","May","22","Daily KES"
"21/05/2025","May","21","Daily KES"
"20/05/2025","May","20","Daily KES"
"19/05/2025","May","19","Daily KES"
"16/05/2025","May","16","Daily KES"
"15/05/2025","May","15","Daily KES"
"14/05/2025","May","14","Daily KES"
"13/05/2025","May","13","Daily KES"
"12/05/2025","May","12","Daily KES"
"09/05/2025","May","09","Daily KES"
"08/05/2025","May","08","Daily KES"
"07/05/2025","May","07","Daily KES"
"06/05/2025","May","06","Daily KES"
"05/05/2025","May","05","Daily KES"
"02/05/2025","May","02","Daily KES"
"30/04/2025","April","30","Daily KES"
"29/04/2025","April","29","Daily KES"
"28/04/2025","April","28","Daily KES"
"25/04/2025","April","25","Daily KES"
"24/04/2025","April","24","Daily KES"
"23/04/2025","April","23","Daily KES"
"22/04/2025","April","22","Daily KES"
"17/04/2025","April","17","Daily KES"
"16/04/2025","April","16","Daily KES"
"15/04/2025","April","15","Daily KES"
"14/04/2025","April","14","Daily KES"
"14/04/2025","April","14","Daily KES"
"11/04/2025","April","11","Daily KES"
"10/04/2025","April","10","Daily KES"
"09/04/2025","April","09","Daily KES"
"08/04/2025","April","08","Daily KES"
"07/04/2025","April","07","Daily Kes"
"04/04/2025","April","04","Daily KES"
"03/04/2025","April","03","Daily KES"
"02/04/2025","April","02","Daily KES"
"01/04/2025","April","01","Daily KES"
"28/03/2025","March","28","Daily KES"
