"Year","Month","USD Values (Millions)","USD Volumes (000’s)","EURO Values (Millions)","EURO Volumes (000’s)","GBP Values (Millions)","GBP Volumes (000’s)"
"2025","January","60.85","22.84","1.76","0.47","0.19","0.06"
"2025","February","54.41","20.66","1.73","0.47","0.09","0.05"
"2024","April","60.06","22.05","2.02","0.56","0.14","0.04"
"2024","January","59.12","22.29","1.82","0.55","0.11","0.07"
"2024","January","57.26","21.43","2.23","0.61","0.29","0.08"
"2024","March","56.28","20.76","2.10","0.58","0.10","0.04"
"2024","May","62.39","23.71","1.81","0.51","0.11","0.04"
"2024","June","57.85","21.55","1.25","0.38","0.10","0.05"
"2024","July","74.37","27.25","2.08","0.59","0.15","0.05"
"2024","December","55.82","20.72","1.58","0.43","0.12","0.04"
"2024","November","57.17","21.06","1.56","0.47","0.07","0.04"
"2024","October","64.35","23.37","1.86","0.53","0.08","0.04"
"2024","September","62.63","22.75","1.56","0.45","0.09","0.04"
"2024","August","67.58","24.61","1.48","0.44","0.10","0.05"
"2023","January","58.45","21.99","1.90","0.56","0.10","0.05"
"2023","February","53.44","20.08","2.07","0.58","0.11","0.04"
"2023","March","61.41","21.93","2.04","0.62","0.15","0.10"
"2023","April","51.99","18.84","1.73","0.48","0.10","0.04"
"2023","May","66.32","25.29","2.01","0.62","0.15","0.06"
"2023","July","67.56","26.20","1.68","0.53","0.21","0.07"
"2023","August","68.53","26.98","1.85","0.55","0.12","0.04"
"2023","September","59.69","22.79","1.81","0.56","0.17","0.06"
"2023","October","58.53","22.68","1.92","0.56","0.21","0.07"
"2023","November","55.92","20.86","1.82","0.54","0.23","0.07"
"2023","December","53.53","19.81","1.90","0.54","0.12","0.05"
"2023","June","61.85","24.18","1.59","0.49","0.10","0.05"
"2022","August","66.96","24.19","1.34","0.44","0.09","0.04"
"2022","April","50.65","17.43","1.36","0.39","0.09","0.04"
"2022","March","65.82","22.40","1.96","0.60","0.13","0.05"
"2022","February","56.79","19.90","1.71","0.52","0.09","0.04"
"2022","January","53.46","19.34","1.22","0.45","0.10","0.05"
"2022","May","64.66","22.02","1.78","0.54","0.11","0.05"
"2022","June","61.06","22.22","1.36","0.45","0.08","0.03"
"2022","July","63.82","22.76","1.36","0.41","0.12","0.05"
"2022","September","70.43","23.44","1.91","0.54","0.18","0.06"
"2022","October","61.00","21.60","1.78","0.51","0.19","0.07"
"2022","November","62.71","22.02","1.77","0.55","0.12","0.05"
"2022","December","57.06","20.97","1.70","0.50","0.18","0.05"
"2021","May","50.71","17.58","1.66","0.53","0.09","0.05"
"2021","April","51.52","18.12","1.58","0.53","0.10","0.03"
"2021","March","55.77","20.02","2.33","0.69","0.12","0.05"
"2021","February","45.17","16.56","1.39","0.47","0.16","0.05"
"2021","January","44.43","17.02","1.29","0.47","0.06","0.03"
"2021","June","53.40","19.18","1.70","0.55","0.06","0.03"
"2021","July","53.96","19.85","1.36","0.45","0.13","0.05"
