"Date","Rate"
"11/07/2025","9.6151"
"10/07/2025","9.6050"
"09/07/2025","9.6241"
"08/07/2025","9.6495"
"07/07/2025","9.6547"
"04/07/2025","9.6222"
"03/07/2025","9.6673"
"02/07/2025","9.6905"
"01/07/2025","9.6862"
"30/06/2025","9.7148"
"27/06/2025","9.7215"
"26/06/2025","9.7275"
"25/06/2025","9.7178"
"24/06/2025","9.7175"
"23/06/2025","9.7051"
"20/06/2025","9.6866"
"19/06/2025","9.7168"
"18/06/2025","9.7256"
"17/06/2025","9.6993"
"16/06/2025","9.6523"
"13/06/2025","9.6351"
"12/06/2025","9.6498"
"11/06/2025","9.7049"
"10/06/2025","9.7757"
"09/06/2025","9.7388"
"05/06/2025","9.7561"
"04/06/2025","9.7884"
"03/06/2025","9.8756"
"30/05/2025","9.8217"
"29/05/2025","9.8179"
"28/05/2025","9.7638"
"27/05/2025","9.7958"
"26/05/2025","9.8294"
"23/05/2025","9.8307"
"22/05/2025","9.8447"
"21/05/2025","9.90"
"20/05/2025","9.900"
"19/05/2025","9.8670"
"16/05/2025","9.8485"
"15/05/2025","9.8548"
"14/05/2025","9.8408"
"13/05/2025","9.8509"
"12/05/2025","9.8562"
"09/05/2025","9.8955"
"08/05/2025","9.9001"
"07/05/2025","9.9079"
"06/05/2025","9.9084"
"05/05/2025","9.9283"
"02/05/2025","9.9247"
"30/04/2025","9.9373"
"29/04/2025","9.9563"
"28/04/2025","9.9566"
"25/04/2025","9.9402"
"24/04/2025","9.9476"
"23/04/2025","9.9003"
"22/04/2025","9.8666"
"17/04/2025","9.8286"
"16/04/2025","9.8042"
"15/04/2025","9.8740"
"14/04/2025","9.9297"
"11/04/2025","9.9860"
"10/04/2025","10.1225"
"09/04/2025","10.2961"
"08/04/2025","10.7286"
"07/04/2025","10.6916"
"04/04/2025","10.6858"
"03/04/2025","10.6812"
"02/04/2025","10.6818"
"01/04/2025","10.6765"
"28/03/2025","10.6782"
"27/03/2025","10.6594"
"26/03/2025","10.6687"
"25/03/2025","10.6438"
"24/03/2025","10.6118"
"21/03/2025","10.6228"
"20/03/2025","10.6442"
"19/03/2025","10.7188"
"18/03/2025","10.6988"
"17/03/2025","10.7111"
"14/03/2025","10.6694"
"13/03/2025","10.6943"
"12/03/2025","10.6868"
"11/03/2025","10.6667"
"10/03/2025","10.6820"
"07/03/2025","10.6913"
"06/03/2025","10.7073"
"05/03/2025","10.7119"
"04/03/2025","10.6951"
"03/03/2025","10.6943"
"28/02/2025","10.6892"
"27/02/2025","10.7075"
"26/02/2025","10.7053"
"25/02/2025","10.7047"
"24/02/2025","10.6617"
"21/02/2025","10.6793"
"20/02/2025","10.6837"
"19/02/2025","10.6780"
"18/02/2025","10.6263"
"17/02/2025","10.5768"
"14/02/2025","10.5258"
"13/02/2025","10.4998"
"12/02/2025","10.5413"
"11/02/2025","10.5445"
"10/02/2025","10.5884"
"07/02/2025","10.6262"
"06/02/2025","10.6967"
"05/02/2025","11.0052"
"04/02/2025","11.0460"
"03/02/2025","11.1088"
"31/01/2025","11.1511"
"30/01/2025","11.2333"
"29/01/2025","11.2416"
"28/01/2025","11.2413"
"27/01/2025","11.2460"
"24/01/2025","11.2436"
"23/01/2025","11.2895"
"22/01/2025","11.3347"
"21/01/2025","11.3311"
"20/01/2025","11.3282"
"17/01/2025","11.3302"
"16/01/2025","11.3313"
"15/01/2025","11.3221"
"14/01/2025","11.2995"
"13/01/2025","11.2684"
"10/01/2025","11.1928"
"09/01/2025","11.1198"
"08/01/2025","11.0925"
"07/01/2025","11.0679"
"06/01/2025","11.0340"
"03/01/2025","11.0390"
"02/01/2025","11.0619"
"31/12/2024","11.0965"
"30/12/2024","11.0504"
"27/12/2024","11.0590"
"24/12/2024","11.0855"
"23/12/2024","11.1235"
"20/12/2024","11.1871"
"19/12/2024","11.2320"
"18/12/2024","11.3385"
"17/12/2024","11.4123"
"16/12/2024","11.5097"
"13/12/2024","11.5414"
"11/12/2024","11.5565"
"10/12/2024","11.3236"
"09/12/2024","11.3787"
"06/12/2024","11.5723"
"05/12/2024","11.8296"
"04/12/2024","11.8472"
"03/12/2024","11.8625"
"02/12/2024","11.8986"
