"Date","Repo","Reverse Repo"
"06/03/2025","10.734","0"
"05/03/2025","10.747","0"
"04/03/2025","10.747","0"
"03/03/2025","10.746","0"
"28/02/2025","10.74","0"
"27/02/2025","10.74","0"
"26/02/2025","10.749","0"
"25/02/2025","10.749","0"
"24/02/2025","10.742","0"
"21/02/2025","10.744","0"
"20/02/2025","10.743","0"
"19/02/2025","10.745","0"
"18/02/2025","10.745","0"
"17/02/2025","10.739","0"
"14/02/2025","10.743","0"
"13/02/2025","10.727","0"
"12/02/2025","10.74","0"
"11/02/2025","10.742","0"
"10/02/2025","10.51","0"
"07/02/2025","10.743","0"
"06/02/2025","10.717","0"
"05/02/2025","11.049","0"
"04/02/2025","11.223","0"
"03/02/2025","11.178","0"
"31/01/2025","11.116","0"
"30/01/2025","11.097","0"
"27/01/2025","0","11.375"
"23/01/2025","0","11.25"
"22/01/2025","0","11.3"
"20/01/2025","0","11.6113"
"16/01/2025","0","11.653"
"10/01/2025","11.25","0"
"09/01/2025","11.236","0"
"07/01/2025","11.111","0"
"03/01/2025","11.25","0"
"31/12/2024","0","0"
"30/12/2024","0","12.1794"
"27/12/2024","0","11.25"
"23/12/2024","0","12.033"
"18/12/2024","0","12.0571"
"16/12/2024","0","12.2789"
"11/12/2024","0","12.2787"
"09/12/2024","0","11.9227"
"06/12/2024","0","11.25"
"02/12/2024","0","12.78"
"27/11/2024","0","12.8359"
"25/11/2024","0","13.125"
"20/11/2024","0","14.4574"
"18/11/2024","0","13.2981"
"13/11/2024","0","14.3444"
"11/11/2024","0","13.3472"
"06/11/2024","0","13.5"
"05/11/2024","0","13.1688"
"30/10/2024","0","13.0532"
"28/10/2024","0","12.9705"
"23/10/2024","0","12.9217"
"22/10/2024","0","12.8942"
"17/10/2024","0","12.85"
"14/10/2024","0","13.5404"
"11/10/2024","11.992","0"
"09/10/2024","0","12.5911"
"07/10/2024","0","13.612"
"02/10/2024","0","12.9281"
"01/10/2024","0","0"
"30/09/2024","0","13.0641"
"25/09/2024","0","13.0995"
"24/09/2024","0","13.1"
"23/09/2024","0","13.1402"
"18/09/2024","0","13.1794"
"16/09/2024","0","13.2025"
"11/09/2024","0","13.2273"
"09/09/2024","0","13.0518"
"04/09/2024","0","12.8537"
"02/09/2024","0","12.776"
"29/08/2024","0","12.75"
"27/08/2024","0","12.7919"
"26/08/2024","0","12.8198"
"21/08/2024","0","12.8329"
"19/08/2024","0","12.8645"
"14/08/2024","0","12.8513"
"12/08/2024","0","12.885"
"08/08/2024","0","12.82"
"07/08/2024","0","13.0638"
"06/08/2024","0","13.232"
"05/08/2024","0","13.2609"
"31/07/2024","0","13.3357"
"29/07/2024","0","13.5543"
"24/07/2024","0","13.6907"
"23/07/2024","0","13.7674"
"22/07/2024","0","13.8489"
"17/07/2024","0","14.098"
"15/07/2024","0","14.2473"
"10/07/2024","0","14.1475"
"08/07/2024","0","14.1623"
"03/07/2024","0","14.28"
"01/07/2024","0","14.1087"
"26/06/2024","0","14.0018"
"24/06/2024","0","13.9698"
"21/06/2024","0","14.2"
"19/06/2024","0","13.7215"
"12/06/2024","0","13.7215"
"10/06/2024","0","13.6333"
"05/06/2024","0","13.5198"
"03/06/2024","0","13.5017"
"29/05/2024","0","13.4728"
"27/05/2024","0","13.56"
"22/05/2024","0","13.6478"
"20/05/2024","0","13.826"
"15/05/2024","0","13.7825"
"13/05/2024","0","13.7988"
"08/05/2024","0","13.9373"
"07/05/2024","0","13.9182"
"06/05/2024","0","14.0235"
"02/05/2024","0","13.992"
"30/04/2024","0","14.148"
"29/04/2024","0","14.2683"
"25/04/2024","0","14.2615"
"24/04/2024","0","14.2022"
"23/04/2024","0","14.155"
"22/04/2024","0","14.066"
"18/04/2024","0","14.332"
"17/04/2024","0","14.294"
"16/04/2024","0","14.9"
"15/04/2024","0","14.9016"
"11/04/2024","0","14.8245"
"09/04/2024","0","15.2644"
"08/04/2024","0","15.2574"
"03/04/2024","0","15.3055"
"02/04/2024","0","15.3508"
"28/03/2024","0","0"
"27/03/2024","0","15.46"
"26/03/2024","0","15.4007"
"25/03/2024","0","15.355"
"20/03/2024","0","15.4517"
"19/03/2024","0","15.3736"
"18/03/2024","0","15.1759"
"13/03/2024","0","14.9068"
"11/03/2024","0","13.7741"
"11/03/2024","0","14.1097"
"06/03/2024","0","13.5906"
"05/03/2024","0","13.7428"
"04/03/2024","0","14.1588"
"28/02/2024","0","14.4015"
"27/02/2024","0","14.7378"
"26/02/2024","0","15.1617"
"22/02/2024","0","15.2963"
"21/02/2024","0","15.2223"
"20/02/2024","0","15.3917"
"19/02/2024","0","15.3852"
"14/02/2024","0","14.988"
"13/02/2024","0","14.7243"
"12/02/2024","0","14.1384"
"07/02/2024","0","13.9558"
"05/02/2024","0","13.711"
"01/02/2024","0","13.9"
"30/01/2024","0","13.5375"
"29/01/2024","0","13.5835"
"25/01/2024","0","13.75"
"23/01/2024","0","13.9629"
"22/01/2024","0","13.5945"
"19/01/2024","0","13.6225"
"17/01/2024","0","14.018"
"15/01/2024","0","13.8372"
"12/01/2024","0","13.639"
"11/01/2024","0","13.5233"
"10/01/2024","0","13.4995"
"05/01/2024","0","13.377"
"04/01/2024","0","14.021"
"03/01/2024","0","14.197"
"03/01/2024","0","13.7254"
"02/01/2024","0","14.451"
"20/12/2023","0","14.651"
"19/12/2023","0","14.107"
"14/12/2023","0","13.177"
"13/12/2023","0","12.864"
