"Date","Currency","EXCHANGE RATE"
"11/07/2025","US DOLLAR","129.2410"
"11/07/2025","STG POUND","175.2702"
"11/07/2025","EURO","150.9858"
"11/07/2025","SA RAND","7.2791"
"11/07/2025","KES / USHS","27.7311"
"11/07/2025","KES / TSHS","20.3496"
"11/07/2025","KES / RWF","11.1282"
"11/07/2025","KES / BIF","23.0540"
"11/07/2025","AE DIRHAM","35.1863"
"11/07/2025","CAN $","94.3813"
"11/07/2025","S FRANC","162.1288"
"11/07/2025","JPY (100)","88.0029"
"11/07/2025","SW KRONER","13.5804"
"11/07/2025","NOR KRONER","12.7986"
"11/07/2025","DAN KRONER","20.2352"
"11/07/2025","IND RUPEE","1.5055"
"11/07/2025","HONGKONG DOLLAR","16.4640"
"11/07/2025","SINGAPORE DOLLAR","100.9104"
"11/07/2025","SAUDI RIYAL","34.4588"
"11/07/2025","CHINESE YUAN","18.0269"
"11/07/2025","AUSTRALIAN $","85.0535"
"10/07/2025","US DOLLAR","129.2421"
"10/07/2025","STG POUND","175.8662"
"10/07/2025","EURO","151.7108"
"10/07/2025","SA RAND","7.2622"
"10/07/2025","KES / USHS","27.7773"
"10/07/2025","KES / TSHS","20.3301"
"10/07/2025","KES / RWF","11.1248"
"10/07/2025","KES / BIF","23.0536"
"10/07/2025","AE DIRHAM","35.1871"
"10/07/2025","CAN $","94.4545"
"10/07/2025","S FRANC","162.7632"
"10/07/2025","JPY (100)","88.3495"
"10/07/2025","SW KRONER","13.6047"
"10/07/2025","NOR KRONER","12.8175"
"10/07/2025","DAN KRONER","20.3332"
"10/07/2025","IND RUPEE","1.5106"
"10/07/2025","HONGKONG DOLLAR","16.4640"
"10/07/2025","SINGAPORE DOLLAR","101.0059"
"10/07/2025","SAUDI RIYAL","34.4581"
"10/07/2025","CHINESE YUAN","18.0056"
"10/07/2025","AUSTRALIAN $","84.5890"
"09/07/2025","US DOLLAR","129.2371"
"09/07/2025","STG POUND","175.6138"
"09/07/2025","EURO","151.3948"
"09/07/2025","SA RAND","7.2703"
"09/07/2025","KES / USHS","27.7939"
"09/07/2025","KES / TSHS","20.4663"
"09/07/2025","KES / RWF","11.1214"
"09/07/2025","KES / BIF","23.0534"
"09/07/2025","AE DIRHAM","35.1857"
"09/07/2025","CAN $","94.5027"
"09/07/2025","S FRANC","162.1239"
"09/07/2025","JPY (100)","87.9194"
"09/07/2025","SW KRONER","13.5546"
"09/07/2025","NOR KRONER","12.7934"
"09/07/2025","DAN KRONER","20.2905"
"09/07/2025","IND RUPEE","1.5052"
"09/07/2025","HONGKONG DOLLAR","16.4634"
"09/07/2025","SINGAPORE DOLLAR","100.8798"
"09/07/2025","SAUDI RIYAL","34.4568"
"09/07/2025","CHINESE YUAN","17.9993"
"09/07/2025","AUSTRALIAN $","84.5017"
"08/07/2025","US DOLLAR","129.2381"
"08/07/2025","STG POUND","176.0998"
"08/07/2025","EURO","151.7061"
"08/07/2025","SA RAND","7.2829"
"08/07/2025","KES / USHS","27.8169"
"08/07/2025","KES / TSHS","20.4274"
"08/07/2025","KES / RWF","11.1809"
"08/07/2025","KES / BIF","23.0516"
"08/07/2025","AE DIRHAM","35.1855"
"08/07/2025","CAN $","94.7598"
"08/07/2025","S FRANC","162.1761"
"08/07/2025","JPY (100)","88.6741"
"08/07/2025","SW KRONER","13.5898"
"08/07/2025","NOR KRONER","12.7899"
"08/07/2025","DAN KRONER","20.3345"
"08/07/2025","IND RUPEE","1.5055"
"08/07/2025","HONGKONG DOLLAR","16.4636"
"08/07/2025","SINGAPORE DOLLAR","101.1213"
"08/07/2025","SAUDI RIYAL","34.4598"
"08/07/2025","CHINESE YUAN","18.0130"
"08/07/2025","AUSTRALIAN $","84.1469"
"07/07/2025","US DOLLAR","129.2387"
"07/07/2025","STG POUND","175.9585"
"07/07/2025","EURO","152.0752"
"07/07/2025","SA RAND","7.2960"
"07/07/2025","KES / USHS","27.7548"
"07/07/2025","KES / TSHS","20.4273"
"07/07/2025","KES / RWF","11.1152"
"07/07/2025","KES / BIF","23.0515"
"07/07/2025","AE DIRHAM","35.1861"
"07/07/2025","CAN $","94.7637"
"07/07/2025","S FRANC","162.5440"
"07/07/2025","JPY (100)","89.1148"
"07/07/2025","SW KRONER","13.4917"
"07/07/2025","NOR KRONER","12.7941"
"07/07/2025","DAN KRONER","20.3808"
"07/07/2025","IND RUPEE","1.5082"
"07/07/2025","HONGKONG DOLLAR","16.4636"
"07/07/2025","SINGAPORE DOLLAR","101.2129"
"07/07/2025","SAUDI RIYAL","34.4591"
"07/07/2025","CHINESE YUAN","18.0184"
"07/07/2025","AUSTRALIAN $","84.0504"
"04/07/2025","US DOLLAR","129.2391"
"04/07/2025","STG POUND","176.2757"
"04/07/2025","EURO","151.9529"
"04/07/2025","SA RAND","7.3741"
"04/07/2025","KES / USHS","27.7548"
"04/07/2025","KES / TSHS","20.4273"
"04/07/2025","KES / RWF","11.0918"
"04/07/2025","KES / BIF","23.0503"
"04/07/2025","AE DIRHAM","35.1858"
"04/07/2025","CAN $","95.1967"
"04/07/2025","S FRANC","162.3709"
"04/07/2025","JPY (100)","89.1304"
"04/07/2025","SW KRONER","13.5169"
"04/07/2025","NOR KRONER","12.8410"
"04/07/2025","DAN KRONER","20.3646"
"04/07/2025","IND RUPEE","1.5128"
"04/07/2025","HONGKONG DOLLAR","16.4637"
"04/07/2025","SINGAPORE DOLLAR","101.3561"
"04/07/2025","SAUDI RIYAL","34.4610"
"04/07/2025","CHINESE YUAN","18.0314"
"04/07/2025","AUSTRALIAN $","84.9295"
"03/07/2025","US DOLLAR","129.2386"
"03/07/2025","STG POUND","175.6934"
"03/07/2025","EURO","152.0557"
"03/07/2025","SA RAND","7.3050"
"03/07/2025","KES / USHS","27.7549"
"03/07/2025","KES / TSHS","20.4273"
"03/07/2025","KES / RWF","11.1097"
"03/07/2025","KES / BIF","23.0500"
"03/07/2025","AE DIRHAM","35.1852"
"03/07/2025","CAN $","94.7254"
"03/07/2025","S FRANC","162.9846"
"03/07/2025","JPY (100)","89.7833"
"03/07/2025","SW KRONER","13.5328"
"03/07/2025","NOR KRONER","12.7724"
"03/07/2025","DAN KRONER","20.3772"
"03/07/2025","IND RUPEE","1.5083"
"03/07/2025","HONGKONG DOLLAR","16.4638"
"03/07/2025","SINGAPORE DOLLAR","101.3994"
"03/07/2025","SAUDI RIYAL","34.4618"
"03/07/2025","CHINESE YUAN","18.0284"
"03/07/2025","AUSTRALIAN $","84.6448"
"02/07/2025","US DOLLAR","129.2384"
"02/07/2025","STG POUND","177.5154"
"02/07/2025","EURO","152.3979"
"02/07/2025","SA RAND","7.3360"
"02/07/2025","KES / USHS","27.8168"
"02/07/2025","KES / TSHS","20.4661"
"02/07/2025","KES / RWF","11.1153"
"02/07/2025","KES / BIF","23.0485"
"02/07/2025","AE DIRHAM","35.1861"
"02/07/2025","CAN $","94.6489"
"02/07/2025","S FRANC","163.2416"
"02/07/2025","JPY (100)","89.9363"
"02/07/2025","SW KRONER","13.6203"
"02/07/2025","NOR KRONER","12.8204"
"02/07/2025","DAN KRONER","20.4254"
"02/07/2025","IND RUPEE","1.5083"
"02/07/2025","HONGKONG DOLLAR","16.4638"
"02/07/2025","SINGAPORE DOLLAR","101.4868"
"02/07/2025","SAUDI RIYAL","34.4617"
"02/07/2025","CHINESE YUAN","18.0323"
"02/07/2025","AUSTRALIAN $","85.0001"
"01/07/2025","US DOLLAR","129.2429"
"01/07/2025","STG POUND","177.5797"
"01/07/2025","EURO","152.2869"
"01/07/2025","SA RAND","7.3010"
"01/07/2025","KES / USHS","27.8158"
"01/07/2025","KES / TSHS","20.6394"
"01/07/2025","KES / RWF","11.1149"
"01/07/2025","KES / BIF","23.0477"
"01/07/2025","AE DIRHAM","35.1882"
"01/07/2025","CAN $","94.9757"
"01/07/2025","S FRANC","163.1134"
"01/07/2025","JPY (100)","89.9550"
"01/07/2025","SW KRONER","13.6610"
"01/07/2025","NOR KRONER","12.8231"
"01/07/2025","DAN KRONER","20.4120"
"01/07/2025","IND RUPEE","1.5099"
"01/07/2025","HONGKONG DOLLAR","16.4642"
"01/07/2025","SINGAPORE DOLLAR","101.6021"
"01/07/2025","SAUDI RIYAL","34.4602"
"01/07/2025","CHINESE YUAN","18.0446"
"01/07/2025","AUSTRALIAN $","84.9643"
"30/06/2025","US DOLLAR","129.2343"
"30/06/2025","STG POUND","177.5227"
"30/06/2025","EURO","151.6500"
"30/06/2025","SA RAND","7.2797"
"30/06/2025","KES / USHS","27.8177"
"30/06/2025","KES / TSHS","20.5054"
"30/06/2025","KES / RWF","11.1426"
"30/06/2025","KES / BIF","23.0473"
"30/06/2025","AE DIRHAM","35.1888"
"30/06/2025","CAN $","94.5732"
"30/06/2025","S FRANC","162.0188"
"30/06/2025","JPY (100)","89.8427"
"30/06/2025","SW KRONER","13.6593"
"30/06/2025","NOR KRONER","12.8653"
"30/06/2025","DAN KRONER","20.3264"
"30/06/2025","IND RUPEE","1.5112"
"30/06/2025","HONGKONG DOLLAR","16.4635"
"30/06/2025","SINGAPORE DOLLAR","101.4995"
"30/06/2025","SAUDI RIYAL","34.4579"
"30/06/2025","CHINESE YUAN","18.0404"
"30/06/2025","AUSTRALIAN $","84.6549"
"27/06/2025","US DOLLAR","129.2542"
"27/06/2025","STG POUND","177.4143"
"27/06/2025","EURO","151.0594"
"27/06/2025","SA RAND","7.2313"
"27/06/2025","KES / USHS","27.7979"
"27/06/2025","KES / TSHS","20.3088"
"27/06/2025","KES / RWF","11.1124"
"27/06/2025","KES / BIF","23.0437"
"27/06/2025","AE DIRHAM","35.1947"
"27/06/2025","CAN $","94.7195"
"27/06/2025","S FRANC","161.2855"
"27/06/2025","JPY (100)","89.4245"
"27/06/2025","SW KRONER","13.5572"
"27/06/2025","NOR KRONER","12.8013"
"27/06/2025","DAN KRONER","20.2455"
"27/06/2025","IND RUPEE","1.5095"
"27/06/2025","HONGKONG DOLLAR","16.4663"
"27/06/2025","SINGAPORE DOLLAR","101.3202"
"27/06/2025","SAUDI RIYAL","34.4632"
"27/06/2025","CHINESE YUAN","18.0219"
"27/06/2025","AUSTRALIAN $","84.5581"
"26/06/2025","US DOLLAR","129.2854"
"26/06/2025","STG POUND","177.1727"
"26/06/2025","EURO","151.0377"
"26/06/2025","SA RAND","7.3075"
"26/06/2025","KES / USHS","27.8067"
"26/06/2025","KES / TSHS","20.4973"
"26/06/2025","KES / RWF","11.1088"
"26/06/2025","KES / BIF","23.0372"
"26/06/2025","AE DIRHAM","35.2036"
"26/06/2025","CAN $","94.2520"
"26/06/2025","S FRANC","160.8828"
"26/06/2025","JPY (100)","89.3133"
"26/06/2025","SW KRONER","13.6637"
"26/06/2025","NOR KRONER","12.7840"
"26/06/2025","DAN KRONER","20.2459"
"26/06/2025","IND RUPEE","1.5067"
"26/06/2025","HONGKONG DOLLAR","16.4702"
"26/06/2025","SINGAPORE DOLLAR","101.3328"
"26/06/2025","SAUDI RIYAL","34.4715"
"26/06/2025","CHINESE YUAN","18.0431"
"26/06/2025","AUSTRALIAN $","84.3523"
"25/06/2025","US DOLLAR","129.2913"
"25/06/2025","STG POUND","176.1335"
"25/06/2025","EURO","150.1977"
"25/06/2025","SA RAND","7.2888"
"25/06/2025","KES / USHS","27.8286"
"25/06/2025","KES / TSHS","20.6704"
"25/06/2025","KES / RWF","11.1069"
"25/06/2025","KES / BIF","23.0352"
"25/06/2025","AE DIRHAM","35.2048"
"25/06/2025","CAN $","94.1739"
"25/06/2025","S FRANC","160.6602"
"25/06/2025","JPY (100)","89.1172"
"25/06/2025","SW KRONER","13.5775"
"25/06/2025","NOR KRONER","12.7861"
"25/06/2025","DAN KRONER","20.1343"
"25/06/2025","IND RUPEE","1.5062"
"25/06/2025","HONGKONG DOLLAR","16.4704"
"25/06/2025","SINGAPORE DOLLAR","101.0444"
"25/06/2025","SAUDI RIYAL","34.4712"
"25/06/2025","CHINESE YUAN","18.0335"
"25/06/2025","AUSTRALIAN $","84.0200"
"24/06/2025","US DOLLAR","129.2741"
"24/06/2025","STG POUND","175.3539"
"24/06/2025","EURO","150.0355"
"24/06/2025","SA RAND","7.2678"
"24/06/2025","KES / USHS","27.9097"
"24/06/2025","KES / TSHS","20.6925"
"24/06/2025","KES / RWF","11.0856"
"24/06/2025","KES / BIF","23.0365"
"24/06/2025","AE DIRHAM","35.2011"
"24/06/2025","CAN $","94.2265"
"24/06/2025","S FRANC","159.2144"
"24/06/2025","JPY (100)","88.8726"
"24/06/2025","SW KRONER","13.5126"
"24/06/2025","NOR KRONER","12.8555"
"24/06/2025","DAN KRONER","20.1112"
"24/06/2025","IND RUPEE","1.4991"
"24/06/2025","HONGKONG DOLLAR","16.4681"
"24/06/2025","SINGAPORE DOLLAR","100.8496"
"24/06/2025","SAUDI RIYAL","34.4556"
"24/06/2025","CHINESE YUAN","18.0113"
"24/06/2025","AUSTRALIAN $","83.9571"
"23/06/2025","US DOLLAR","129.2507"
"23/06/2025","STG POUND","173.5385"
"23/06/2025","EURO","148.7934"
"23/06/2025","SA RAND","7.1536"
"23/06/2025","KES / USHS","27.8915"
"23/06/2025","KES / TSHS","20.5802"
"23/06/2025","KES / RWF","11.1373"
"23/06/2025","KES / BIF","23.0403"
"23/06/2025","AE DIRHAM","35.1942"
"23/06/2025","CAN $","93.9322"
"23/06/2025","S FRANC","158.1532"
"23/06/2025","JPY (100)","87.7972"
"23/06/2025","SW KRONER","13.3323"
"23/06/2025","NOR KRONER","12.7554"
"23/06/2025","DAN KRONER","19.9470"
"23/06/2025","IND RUPEE","1.4888"
"23/06/2025","HONGKONG DOLLAR","16.4653"
"23/06/2025","SINGAPORE DOLLAR","100.1555"
"23/06/2025","SAUDI RIYAL","34.4471"
"23/06/2025","CHINESE YUAN","17.9841"
"23/06/2025","AUSTRALIAN $","82.8174"
"20/06/2025","US DOLLAR","129.2739"
"20/06/2025","STG POUND","174.4422"
"20/06/2025","EURO","148.9429"
"20/06/2025","SA RAND","7.1796"
"20/06/2025","KES / USHS","27.8865"
"20/06/2025","KES / TSHS","20.4604"
"20/06/2025","KES / RWF","11.0548"
"20/06/2025","KES / BIF","23.0362"
"20/06/2025","AE DIRHAM","35.2024"
"20/06/2025","CAN $","94.3915"
"20/06/2025","S FRANC","158.2590"
"20/06/2025","JPY (100)","88.8816"
"20/06/2025","SW KRONER","13.4388"
"20/06/2025","NOR KRONER","12.9105"
"20/06/2025","DAN KRONER","19.9662"
"20/06/2025","IND RUPEE","1.4922"
"20/06/2025","HONGKONG DOLLAR","16.4682"
"20/06/2025","SINGAPORE DOLLAR","100.6532"
