"Year","Month","UK","USA","Germany","Italy","UAE","S.Arabia","France","India","S.Africa","Japan","Others","Total"
"2024","March","2955","10925","3031","1819","21558","2322","2663","18185","4657","8273","131840","208229"
"2024","December","2613","9808","3198","2387","33099","2272","2791","18825","3977","9329","129698","217998"
"2024","January","2493","16745","2848","1274","21542","3222","1846","28605","12130","9417","144282","244405"
"2024","February","3629","13447","4052","2102","23932","1771","1749","25215","5112","9768","135636","226412"
"2024","April","3119","17897","3065","1752","24459","7550","2459","20394","5450","9546","139352","235044"
"2024","May","6998","11403","3869","1799","36936","2645","3177","16119","5797","8821","113825","211389"
"2024","June","4069","7722","3193","1321","29508","2598","2321","21222","3842","8438","124381","208614"
"2024","July","3405","10232","3363","2121","28549","4271","2989","19597","4384","9326","137818","226055"
"2024","August","3120","11406","6935","2435","31017","2068","2763","26183","2806","8523","131036","228293"
"2024","September","3970","11684","3267","1432","29266","2878","1848","18848","6574","8749","133049","221563"
"2024","October","3825","25248","3258","2009","34672","8063","3809","22355","6706","9445","125125","244515"
"2024","November","5837","9914","3427","1589","23094","12730","2246","28281","5213","9969","125365","227665"
"2023","May","3344","11378","3547","1673","40741","12409","2700","26626","7350","7840","112672","230279"
"2023","March","2479","6916","2916","2678","13925","32265","2052","27320","7319","8033","110528","216431"
"2023","February","2509","5766","3695","963","35619","7170","1436","13993","5790","5669","92682","175291"
"2023","January","3658","5769","2995","1740","33077","4013","4376","24201","3267","6822","104633","194552"
"2023","June","3588","12020","5178","1695","32248","7655","2330","21412","6748","8748","108546","210166"
"2023","July","3147","11290","2591","1584","32174","7781","2782","18568","7848","8394","95512","191671"
"2023","August","2829","13390","3498","2586","50048","9073","3935","19228","6338","8398","119500","238823"
"2023","September","2810","7685","2769","1740","40935","18522","4814","17755","4690","8610","104613","214942"
"2023","October","3322","9146","2879","1449","41919","10269","4832","33667","7847","7504","116868","239702"
"2023","November","8551","9670","2942","1568","31670","11745","3479","19455","5969","10643","153420","259111"
"2023","December","2435","8453","3382","1709","31030","5007","2500","19295","5125","8877","131851","219664"
"2023","April","2237","11277","3525","2508","28148","19241","1700","27650","8551","7916","95540","208294"
"2022","May","2344","8750","2926","1828","33331","14385","2331","23696","6403","9234","128106","233335"
"2022","April","2567","7611","2151","1162","34784","15741","1143","30751","3587","8297","87267","195062"
"2022","March","3644","11651","2159","1642","36265","10727","1608","21419","3386","9312","111504","213318"
"2022","February","3401","6069","2304","1877","23451","13229","1220","15144","10086","9209","97602","183591"
"2022","January","2042","6705","3070","1719","12464","13012","1736","25494","4261","6763","116915","194180"
"2022","June","3285","5707","3586","5986","37573","10295","2032","33638","2998","8272","114212","227584"
"2022","July","2492","9309","2308","2045","32804","2506","1549","17322","9087","7123","126352","212897"
"2022","August","3692","6792","2078","1423","46507","2119","2300","18790","3000","9315","142436","238452"
